Segment Histogram:
Non-Elevated CN Segments=80009
Elevated CN Segments=80008

Segment List:
2452 2488 6.52
2697 2712 9.11
3515 3529 5.46
3960 3967 6.07
4997 5026 6.10
5940 5985 6.42
7548 7550 5.17
8065 8076 5.06
10424 10463 8.71
12245 12252 5.01
13768 13777 6.53
14482 14494 5.85
15409 15415 5.27
15844 15931 6.06
16134 16139 6.44
16568 16680 9.36
17077 17115 5.07
18648 18705 5.89
19857 19880 5.43
20300 20332 6.31
21360 21365 5.48
24699 24703 5.70
25524 25559 6.62
28027 28066 5.76
28293 28389 8.90
28733 28751 5.54
28790 28794 5.70
31004 31047 8.85
31189 31235 5.34
31428 31443 5.25
32912 32939 5.56
33465 33499 6.87
36886 36899 7.63
37088 37090 5.17
37582 37644 5.66
39023 39028 8.43
40546 40611 5.07
40956 40983 6.52
42682 42746 5.29
42856 42858 5.17
44967 45030 8.40
45426 45449 6.47
46312 46333 6.91
46894 46896 5.17
47399 47409 5.36
47824 47831 5.05
48247 48309 8.66
51587 51636 7.51
54420 54424 5.70
57412 57495 5.96
58226 58228 5.17
60090 60104 5.50
61807 61905 8.59
64470 64507 6.27
65149 65155 6.23
65229 65256 6.57
65570 65663 5.66
66838 66858 5.03
67670 67726 7.00
68613 68627 6.41
70354 70420 6.77
71605 71611 5.27
74232 74244 5.88
75815 75844 7.95
76286 76321 11.58
77195 77231 6.44
77772 77829 5.79
81306 81319 5.67
81733 81745 8.80
82325 82350 8.00
83036 83075 6.75
83289 83300 6.10
85504 85505 5.39
86128 86204 7.47
86312 86324 5.88
86838 86890 10.88
88346 88409 9.35
88811 88831 5.11
88978 88985 5.05
89756 89771 6.24
90484 90505 8.72
90908 90952 5.68
91334 91346 6.85
92255 92302 6.98
93970 93989 5.29
94154 94229 11.52
95499 95504 5.48
95646 95655 5.62
96646 96658 5.93
96875 96919 7.64
97372 97419 8.90
98333 98377 6.63
98603 98611 5.84
101735 101763 7.21
102924 102939 5.20
103241 103288 5.99
103589 103603 5.37
105688 105713 7.95
106093 106122 5.05
106271 106286 7.15
108294 108332 5.07
108770 108811 6.32
109054 109070 5.94
109436 109482 6.29
112423 112544 8.47
112719 112722 5.91
112826 112828 5.17
113282 113331 6.52
113554 113584 5.84
114475 114506 6.58
114728 114747 5.33
116006 116050 7.63
116635 116640 5.48
117267 117268 5.39
117558 117569 5.11
118092 118118 7.69
119630 119631 5.39
120156 120176 6.07
124077 124078 5.39
127186 127197 5.19
129485 129511 8.74
130028 130029 5.39
130199 130215 6.98
131243 131272 5.19
131351 131374 6.43
133721 133761 9.41
135539 135540 5.39
136289 136324 5.81
137789 137795 5.27
137846 137861 7.20
138799 138811 5.88
138964 138967 5.91
139063 139082 5.29
139872 139877 5.48
140579 140588 5.62
141012 141029 5.81
142322 142330 5.79
145373 145407 5.02
148994 149018 11.03
149771 149800 5.05
151719 151744 6.05
151806 151815 6.53
152380 152383 5.91
152641 152658 6.76
154154 154160 6.22
160892 160949 9.69
162202 162231 6.04
166204 166265 11.61
167374 167394 6.08
167757 167769 5.93
170286 170291 5.48
170460 170495 5.75
171822 171826 5.70
175160 175173 7.68
176075 176092 6.76
177341 177344 7.92
177419 177441 5.64
178514 178593 8.70
179286 179296 6.31
180036 180051 7.15
183828 183875 5.02
184125 184136 5.19
186138 186141 5.91
186325 186363 5.97
187573 187593 6.07
189126 189131 7.44
190264 190272 5.79
190732 190734 6.13
190873 190896 6.38
191029 191045 7.03
192944 192948 5.70
193672 193733 6.88
194079 194081 5.17
195866 195872 10.13
196158 196163 5.53
196309 196310 5.39
197109 197191 7.03
197884 197910 6.73
198351 198394 6.99
199185 199211 6.65
201245 201263 6.50
203114 203128 5.50
204675 204680 5.48
205955 205968 5.72
208819 208864 10.33
209161 209224 6.36
209529 209540 7.10
210530 210532 5.17
211215 211239 6.13
213460 213476 7.94
216419 216434 7.23
217150 217167 6.76
218793 218794 5.39
219474 219494 7.12
220229 220304 6.83
221277 221279 5.17
222254 222262 5.79
222388 222402 7.36
222500 222523 6.34
222782 222783 5.39
223287 223311 5.25
223445 223479 5.96
223644 223647 5.91
224322 224364 6.07
224539 224558 6.30
225549 225567 7.46
226687 226720 6.24
228288 228317 6.09
230237 230243 5.27
231405 231409 6.65
231937 231956 10.19
232663 232680 6.78
233124 233126 5.17
233595 233607 6.84
233914 233948 5.98
235434 235441 6.96
236572 236612 5.59
236688 236722 11.78
236846 236861 5.24
237068 237116 5.78
238012 238027 9.11
238359 238368 5.54
239614 239631 5.76
240206 240252 5.16
241540 241546 8.22
241995 242049 5.52
244345 244355 9.18
245069 245111 6.11
246335 246348 5.73
247042 247062 6.12
247411 247461 5.39
249097 249101 5.70
249280 249322 5.11
249625 249697 5.43
251155 251192 5.28
252305 252338 6.18
253225 253258 6.19
254393 254397 6.70
254484 254494 5.32
255302 255385 8.06
256300 256325 7.00
256441 256472 5.57
257243 257289 6.34
257650 257662 5.90
257921 257949 8.17
261543 261610 5.60
262389 262390 5.39
262758 262791 7.14
266863 266879 7.89
272796 272812 5.99
274054 274063 5.57
274249 274273 6.21
274770 274781 6.15
275320 275329 6.58
276818 276842 9.08
277927 277988 6.88
278102 278104 5.17
278525 278550 5.96
278595 278611 5.03
280331 280371 6.59
280442 280468 5.65
282094 282168 9.86
282575 282592 6.76
283520 283560 8.54
285365 285392 8.48
287671 287711 5.54
288675 288680 6.44
289249 289257 6.75
290935 290950 7.20
291233 291262 6.18
291685 291690 5.48
293144 293167 7.35
294267 294271 6.65
294640 294661 7.81
295993 296009 7.02
298169 298175 6.22
298657 298677 8.03
298758 298759 5.39
298942 298943 5.39
301283 301288 5.48
302393 302401 6.79
302619 302700 6.34
303498 303504 5.27
304012 304033 7.86
304350 304381 7.58
304947 304960 6.62
305671 305681 5.41
305936 305940 5.75
306716 306718 5.17
310039 310047 5.84
310536 310541 5.48
310937 310938 5.39
311586 311634 6.80
311773 311790 5.81
311902 311908 7.23
312291 312298 8.00
315153 315172 7.34
315836 315856 6.17
315989 316030 6.37
