Segment Histogram:
Non-Elevated CN Segments=71550
Elevated CN Segments=71549

Segment List:
14684 14708 5.22
14774 14795 5.90
14910 14997 10.83
15039 15178 25.71
15494 15510 5.03
15884 15932 7.74
16079 16098 6.25
16579 16991 14.52
17248 17294 7.26
17423 17499 7.43
17709 17767 7.57
18301 18401 14.87
18501 18553 6.87
18694 18775 6.26
18881 18935 17.27
19745 19773 8.28
20621 20639 6.42
20818 21110 32.34
21796 22121 33.57
22380 22429 5.61
22545 22605 6.05
22663 22731 6.24
22828 22835 6.01
23368 23389 8.77
23747 23779 13.14
24523 24653 13.12
24782 24817 6.67
25431 25456 5.00
25610 25647 6.29
26323 26330 5.05
27061 27123 10.39
27209 27308 14.85
28939 28954 5.25
30945 30952 8.01
31796 31820 6.13
31984 31998 5.51
33159 33241 6.28
33704 33767 7.32
35091 35092 5.39
37739 37749 5.36
39608 39641 9.05
40703 40718 5.25
42444 42489 5.47
42910 42937 5.48
43680 43703 5.48
45577 45640 5.46
46218 46240 8.55
48130 48164 7.88
48810 48846 9.45
51078 51092 7.41
52457 52502 5.47
52759 52790 52.31
53153 53202 5.56
54537 54538 5.39
59542 59561 6.33
59838 59876 7.93
60108 60115 5.05
65112 65397 10.41
66255 66269 6.37
66354 66410 8.96
69143 69144 5.39
73898 73899 5.39
80367 80382 6.19
80663 80716 9.51
80786 80817 5.66
80991 81068 7.26
81204 81223 6.33
82244 82249 5.48
83737 83742 5.48
84739 84755 5.03
84846 84865 5.29
84951 85090 6.27
87167 87185 6.55
87247 87252 6.49
87625 87629 5.70
93285 93357 5.33
93541 93577 8.40
93716 93730 6.46
94322 94331 5.49
95499 95513 6.41
99051 99084 7.09
100969 100974 5.48
102591 102602 6.10
103028 103073 9.38
103287 103301 11.33
104124 104127 5.91
105008 105015 5.06
105101 105141 5.67
105803 105829 5.69
106132 106149 6.73
106339 106396 11.57
106621 106638 5.72
107210 107261 5.16
107965 107997 8.40
110129 110268 5.41
110666 110668 5.17
110859 110941 5.26
114703 114719 5.02
117752 117784 9.28
117931 117953 9.51
119889 119951 5.67
120068 120126 6.49
120446 120622 12.80
120804 120838 5.93
122482 122487 6.49
124340 124349 7.53
124483 124511 5.21
124607 124631 7.03
125076 125078 7.13
126834 126856 5.69
127237 127255 5.59
127651 127684 5.19
127995 128034 6.85
128135 128190 9.08
129671 129678 6.96
129845 129869 5.17
